Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Upper middle income,UMC,67.5671708171459
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uruguay,URY,95.515
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uzbekistan,UZB,50.416
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Vanuatu,VUT,25.525
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Venezuela, RB",VEN,88.279
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Vietnam,VNM,37.34
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Virgin Islands (U.S.),VIR,95.939
Urban population (% of total population),SP.URB.TOTL.IN.ZS,West Bank and Gaza,PSE,76.719
Urban population (% of total population),SP.URB.TOTL.IN.ZS,World,WLD,56.1563485491551
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Yemen, Rep.",YEM,37.908
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Zambia,ZMB,44.629
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Zimbabwe,ZWE,32.242
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Afghanistan,AFG,11.710000038147
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Africa Eastern and Southern,AFE,7.56318685370141
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Africa Western and Central,AFW,6.77491378680166
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Albania,ALB,13.3290004730225
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Algeria,DZA,12.5500001907349
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,American Samoa,ASM,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Andorra,AND,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Angola,AGO,8.33300018310547
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Antigua and Barbuda,ATG,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Arab World,ARB,11.4873210354051
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Argentina,ARG,11.460000038147
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Armenia,ARM,21.2059993743896
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Aruba,ABW,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Australia,AUS,6.46000003814697
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Austria,AUT,5.3600001335144
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Azerbaijan,AZE,6.46299982070923
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,"Bahamas, The",BHS,13.3210000991821
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bahrain,BHR,1.78100001811981
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bangladesh,BGD,5.41300010681152
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Barbados,BRB,10.3769998550415
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Belarus,BLR,4.76800012588501
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Belgium,BEL,5.55000019073486
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Belize,BLZ,8.46199989318848
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Benin,BEN,1.58399999141693
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bermuda,BMU,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bhutan,BTN,3.6489999294281
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bolivia,BOL,7.90000009536743
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bosnia and Herzegovina,BIH,15.2650003433228
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Botswana,BWA,24.9300003051758
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Brazil,BRA,13.6899995803833
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,British Virgin Islands,VGB,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Brunei Darussalam,BRN,7.68200016021729
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bulgaria,BGR,5.11999988555908
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Burkina Faso,BFA,4.89499998092651
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Burundi,BDI,1.70700001716614
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Cabo Verde,CPV,15.3059997558594
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Cambodia,KHM,0.331000000238419
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Cameroon,CMR,3.83699989318848
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Canada,CAN,9.46000003814697
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Caribbean small states,CSS,9.82741043842722
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Cayman Islands,CYM,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Central African Republic,CAF,6.35699987411499
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Central Europe and the Baltics,CEB,4.37229295020506
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Chad,TCD,1.74199998378754
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Channel Islands,CHI,7.68599987030029
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Chile,CHL,11.1800003051758
